ip,latest_mac,mac_type,hostname,os,manufacturer,model
10.183.15.239,00:50:56:AE:5F:8B,static,dcc-ychenlab-gpu-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.24,00:50:56:AE:21:F6,static,dcc-gehmlab-gpu-29,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.240,00:50:56:AE:05:D1,static,dcc-ychenlab-gpu-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.241,00:50:56:AE:1B:14,static,dcc-ychenlab-gpu-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.242,00:50:56:AE:81:EA,static,dcc-wmglab-32,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.243,00:50:56:AE:10:22,static,dcc-ychenlab-gpu-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.244,00:50:56:AE:E6:9C,static,dcc-youlab-gpu-25,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.245,00:50:56:AE:D0:A5,static,dcc-youlab-gpu-26,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.246,00:50:56:AE:3A:D8,static,dcc-youlab-gpu-27,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.247,00:50:56:AE:4F:3E,static,dcc-youlab-gpu-28,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.248,00:50:56:AE:AE:EE,static,dcc-wmglab-33,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.249,00:50:56:AE:A2:CD,static,dcc-youlab-gpu-29,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.25,00:50:56:AE:9F:97,static,dcc-gehmlab-gpu-28,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.250,00:50:56:AE:3B:44,static,dcc-youlab-gpu-31,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.251,00:50:56:AE:0B:A4,static,dcc-youlab-gpu-30,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.252,00:50:56:AE:9A:01,static,dcc-youlab-gpu-32,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.253,00:50:56:AE:B8:A4,static,dcc-youlab-gpu-33,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.254,00:50:56:AE:8D:57,static,dcc-wmglab-34,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.255,00:50:56:AE:D6:62,static,dcc-youlab-gpu-34,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.26,00:50:56:AE:9C:27,static,dcc-gehmlab-gpu-30,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.27,00:50:56:AE:7D:FA,static,dcc-gehmlab-gpu-31,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.28,00:50:56:AE:B4:1B,static,dcc-gehmlab-gpu-32,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.29,00:50:56:AE:11:B0,static,dcc-goldberg-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.3,00:50:56:AE:24:F7,static,dcc-gehmlab-gpu-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.30,00:50:56:AE:BB:E3,static,dcc-gehmlab-gpu-33,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.31,00:50:56:AE:EF:C3,static,dcc-gehmlab-gpu-34,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.32,00:50:56:AE:A9:EB,static,dcc-gehmlab-gpu-35,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.33,00:50:56:AE:C1:DC,static,dcc-gehmlab-gpu-36,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.34,00:50:56:AE:65:4D,static,dcc-gunschlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.35,00:50:56:AE:3B:14,static,dcc-gehmlab-gpu-37,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.36,00:50:56:AE:6C:45,static,dcc-gehmlab-gpu-38,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.37,00:50:56:AE:48:C0,static,dcc-gehmlab-gpu-40,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.38,00:50:56:AE:E6:01,static,dcc-gehmlab-gpu-39,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.39,00:50:56:AE:62:FB,static,dcc-gehmlab-gpu-41,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.4,00:50:56:AE:A2:FD,static,dcc-gehmlab-gpu-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.40,00:50:56:AE:61:90,static,dcc-gehmlab-gpu-42,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.41,00:50:56:AE:7E:BC,static,dcc-gehmlab-gpu-43,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.42,00:50:56:AE:1E:E5,static,dcc-gehmlab-gpu-44,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.43,00:50:56:AE:19:F3,static,dcc-gehmlab-gpu-47,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.44,00:50:56:AE:78:81,static,dcc-gehmlab-gpu-45,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.45,00:50:56:AE:06:E2,static,dcc-gehmlab-gpu-48,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.46,00:50:56:AE:00:D1,static,dcc-gehmlab-gpu-46,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.48,00:50:56:AE:E6:98,static,dcc-gehmlab-gpu-50,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.49,00:50:56:AE:58:BA,static,dcc-gehmlab-gpu-49,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.5,00:50:56:AE:42:B0,static,dcc-gehmlab-gpu-09,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.50,00:50:56:AE:EF:A0,static,dcc-gehmlab-gpu-51,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.51,00:50:56:AE:A9:C6,static,dcc-gehmlab-gpu-52,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.52,00:50:56:AE:A2:F7,static,dcc-gehmlab-gpu-54,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.53,00:50:56:AE:B2:89,static,dcc-gehmlab-gpu-53,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.54,00:50:56:AE:0A:18,static,dcc-gehmlab-gpu-55,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.55,00:50:56:AE:8D:74,static,dcc-gehmlab-gpu-56,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.56,00:50:56:AE:D4:06,static,dcc-hulab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.58,00:50:56:AE:7C:F6,static,dcc-hulab-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.59,00:50:56:AE:F7:2A,static,dcc-hulab-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.6,00:50:56:AE:AF:5A,static,dcc-gehmlab-gpu-10,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.60,00:50:56:AE:94:8B,static,dcc-katzlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.61,00:50:56:AE:97:96,static,dcc-hulab-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.62,00:50:56:AE:D4:89,static,dcc-hulab-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.63,00:50:56:AE:CC:DB,static,dcc-liulab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.64,00:50:56:AE:A8:15,static,dcc-kirschlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.65,00:50:56:AE:39:AA,static,dcc-liulab-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.66,00:50:56:AE:26:E4,static,dcc-liulab-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.67,00:50:56:AE:6C:70,static,dcc-liulab-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.68,00:50:56:AE:EF:FB,static,dcc-liulab-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.69,00:50:56:AE:C4:55,static,dcc-liulab-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.7,00:50:56:AE:69:3A,static,dcc-gehmlab-gpu-11,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.70,00:50:56:AE:41:CB,static,dcc-mainsahlab-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.71,00:50:56:AE:15:63,static,dcc-mainsahlab-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.72,00:50:56:AE:17:ED,static,dcc-mainsahlab-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.73,00:50:56:AE:38:06,static,dcc-mainsahlab-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.74,00:50:56:AE:56:72,static,dcc-majoroslab-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.75,00:50:56:AE:A5:B3,static,dcc-mainsahlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.76,00:50:56:AE:23:51,static,dcc-majoroslab-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.78,00:50:56:AE:F0:C1,static,dcc-majoroslab-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.79,00:50:56:AE:97:04,static,dcc-mastatlab-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.8,00:50:56:AE:E4:B4,static,dcc-gehmlab-gpu-12,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.80,00:50:56:AE:8A:AE,static,dcc-motesa-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.81,00:50:56:AE:40:38,static,dcc-motesa-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.82,00:50:56:AE:80:0F,static,dcc-motesa-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.83,00:50:56:AE:DE:22,static,dcc-motesa-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.84,00:50:56:AE:0D:2B,static,dcc-nicolab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.85,00:50:56:AE:61:3D,static,dcc-motesa-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.86,00:50:56:AE:AE:8C,static,dcc-noor-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.87,00:50:56:AE:05:F6,static,dcc-noor-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.88,00:50:56:AE:AE:DD,static,dcc-nsoeclimate-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.89,00:50:56:AE:52:4F,static,dcc-nsoeclimate-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.9,00:50:56:AE:90:33,static,dcc-gehmlab-gpu-14,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.90,00:50:56:AE:CF:F3,static,dcc-ochoalab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.91,00:50:56:AE:96:72,static,dcc-ochoalab-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.92,00:50:56:AE:90:30,static,dcc-pbenfeylab-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.93,00:50:56:AE:D1:3F,static,dcc-pbenfeylab-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.94,00:50:56:AE:8B:5C,static,dcc-pbenfeylab-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.95,00:50:56:AE:82:30,static,dcc-pbenfeylab-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.96,00:50:56:AE:7E:5D,static,dcc-pbenfeylab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.97,00:50:56:AE:6D:76,static,dcc-pbenfeylab-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.98,00:50:56:AE:E4:E7,static,dcc-pcharbon-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.15.99,00:50:56:AE:26:FC,static,dcc-pcharbon-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.0,00:50:56:AE:8F:B4,static,dcc-youlab-gpu-36,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.1,00:50:56:AE:02:1E,static,dcc-youlab-gpu-35,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.10,00:50:56:AE:8D:92,static,dcc-youlab-gpu-43,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.100,00:50:56:AE:14:DD,static,dcc-dhvi-09,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.101,00:50:56:AE:F5:AD,static,dcc-biostat-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.102,00:50:56:AE:26:3B,static,dcc-biostat-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.103,00:50:56:AE:BD:86,static,dcc-dhvi-10,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.104,00:50:56:AE:F7:80,static,dcc-dhvi-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.105,00:50:56:AE:34:30,static,dcc-dhvi-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.106,00:50:56:AE:29:32,static,dcc-biostat-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.107,00:50:56:AE:08:B2,static,dcc-dhvi-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.108,00:50:56:AE:28:0F,static,dcc-dhvi-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.109,00:50:56:AE:96:AF,static,dcc-biostat-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.11,00:50:56:AE:BF:C7,static,dcc-wmglab-37,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.110,00:50:56:AE:3E:AA,static,dcc-dhvi-11,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.111,00:50:56:AE:06:1F,static,dcc-dhvi-strucbio-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.112,00:50:56:AE:E3:02,static,dcc-dhvi-gpu-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.113,00:50:56:AE:E5:AC,static,dcc-dhvi-gpu-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.114,00:50:56:AE:20:21,static,dcc-dhvi-gpu-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.115,00:50:56:AE:45:97,static,dcc-dhvi-gpu-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.116,00:50:56:AE:CC:AA,static,dcc-dhvi-strucbio-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.117,00:50:56:AE:7E:D8,static,dcc-biostat-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.118,00:50:56:AE:EB:94,static,dcc-dhvi-12,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.119,00:50:56:AE:6C:F2,static,dcc-dhvi-strucbio-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.12,00:50:56:AE:35:FA,static,dcc-youlab-gpu-44,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.120,00:50:56:AE:2C:2B,static,dcc-dhvi-strucbio-gpu-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.121,00:50:56:AE:54:65,static,dcc-biostat-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.122,00:50:56:AE:6D:A7,static,dcc-biostat-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.123,00:50:56:AE:FB:F2,static,dcc-dhvi-strucbio-gpu-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.124,00:50:56:AE:04:D6,static,dcc-biostat-09,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.125,00:50:56:AE:14:60,static,dcc-dhvi-strucbio-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.126,00:50:56:AE:72:B9,static,dcc-biostat-10,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.127,00:50:56:AE:46:D3,static,dcc-dhvi-strucbio-relion-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.128,00:50:56:AE:6A:02,static,dcc-biostat-11,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.129,00:50:56:AE:6B:FA,static,dcc-dhvi-strucbio-relion-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.13,00:50:56:AE:CF:BF,static,dcc-youlab-gpu-45,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.130,00:50:56:AE:B2:69,static,dcc-biostat-12,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.131,00:50:56:AE:84:B3,static,dcc-dhvi-strucbio-gpu-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.132,00:50:56:AE:1B:7A,static,dcc-biostat-13,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.133,00:50:56:AE:57:BF,static,dcc-dhvi-strucbio-gpu-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.134,00:50:56:AE:40:3C,static,dcc-biostat-14,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.135,00:50:56:AE:91:2B,static,dcc-dhvi-strucbio-gpu-09,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.136,00:50:56:AE:F4:51,static,dcc-biostat-15,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.137,00:50:56:AE:E0:4B,static,dcc-biostat-16,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.138,00:50:56:AE:FB:33,static,dcc-dhvi-strucbio-gpu-11,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.139,00:50:56:AE:29:EE,static,dcc-dhvi-strucbio-gpu-10,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.14,00:50:56:AE:EE:91,static,dcc-youlab-gpu-47,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.140,00:50:56:AE:2A:F9,static,dcc-biostat-17,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.141,00:50:56:AE:47:71,static,dcc-dhvi-strucbio-relion-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.142,00:50:56:AE:12:24,static,dcc-biostat-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.143,00:50:56:AE:47:47,static,dcc-biostat-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.144,00:50:56:AE:4A:9C,static,dcc-biostat-18,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.145,00:50:56:AE:F7:67,static,dcc-dhvi-strucbio-relion-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.146,00:50:56:AE:2B:52,static,dcc-dhvi-strucbio-relion-gpu-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.147,00:50:56:AE:BC:F0,static,dcc-biostat-19,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.148,00:50:56:AE:C7:B6,static,dcc-dhvi-strucbio-gpu-12,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.149,00:50:56:AE:48:C3,static,dcc-biostat-20,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.15,00:50:56:AE:B2:12,static,dcc-youlab-gpu-46,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.150,00:50:56:AE:F1:77,static,dcc-dhvi-strucbio-gpu-14,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.151,00:50:56:AE:2E:24,static,dcc-dhvi-strucbio-gpu-13,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.152,00:50:56:AE:A4:9C,static,dcc-dhvi-strucbio-gpu-15,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.153,00:50:56:AE:AD:1F,static,dcc-biostat-21,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.154,00:50:56:AE:57:0B,static,dcc-dhvi-strucbio-gpu-16,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.155,00:50:56:AE:0F:96,static,dcc-dhvi-strucbio-gpu-17,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.156,00:50:56:AE:5A:C6,static,dcc-dhvi-strucbio-gpu-18,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.157,00:50:56:AE:D0:E7,static,dcc-cryosparc-dhvi-strucbio-04,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.158,00:50:56:AE:0D:45,static,dcc-cryosparc-dhvi-strucbio-05,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.16,00:50:56:AE:60:88,static,dcc-youlab-gpu-48,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.160,00:50:56:AE:86:17,static,dcc-cryosparc-dhvi-strucbio-06,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.161,00:50:56:AE:3E:22,static,dcc-majoroslab-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.162,00:50:56:AE:87:09,static,dcc-cryosparc-dhvi-strucbio-07,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.163,00:50:56:AE:EC:1F,static,dcc-cryosparc-dhvi-strucbio-08,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.164,00:50:56:AE:87:6C,static,dcc-cryosparc-dhvi-strucbio-09,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.165,00:50:56:AE:34:5D,static,dcc-cryosparc-dhvi-strucbio-10,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.166,00:50:56:AE:80:45,static,dcc-cryosparc-dhvi-strucbio-11,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.167,00:50:56:AE:10:17,static,dcc-cryosparc-dhvi-strucbio-12,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.168,00:50:56:AE:C9:E7,static,dcc-cryosparc-dhvi-strucbio-13,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.169,00:50:56:AE:9F:A7,static,dcc-cryosparc-dhvi-strucbio-14,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.17,00:50:56:AE:38:54,static,dcc-wmglab-38,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.16.170,00:50:56:AE:EE:CC,static,dcc-cryosparc-dhvi-strucbio-15,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.16.171,00:50:56:AE:0A:48,static,dcc-ultrasound-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
